,model,parameters,cross_k,top_k,precision,recall,AUC ROC
115,logistic_reg,"{'C': 1, 'penalty': 'l1', 'fit_intercept': False, 'seed': 1234}",1,0.01,0.4578313253012048,0.017491369390103567,0.6542044718912282
116,logistic_reg,"{'C': 1, 'penalty': 'l1', 'fit_intercept': False, 'seed': 1234}",1,0.05,0.45520144317498495,0.08711162255466053,0.6542044718912282
117,logistic_reg,"{'C': 1, 'penalty': 'l1', 'fit_intercept': False, 'seed': 1234}",1,0.1,0.4359591100420926,0.1668584579976985,0.6542044718912282
118,logistic_reg,"{'C': 1, 'penalty': 'l1', 'fit_intercept': False, 'seed': 1234}",1,0.2,0.4089884262738614,0.3131185270425777,0.6542044718912282
119,logistic_reg,"{'C': 1, 'penalty': 'l1', 'fit_intercept': False, 'seed': 1234}",1,0.3,0.3844689378757515,0.441542002301496,0.6542044718912282
120,logistic_reg,"{'C': 1, 'penalty': 'l2', 'fit_intercept': True, 'seed': 1234}",1,0.01,0.4457831325301205,0.01703107019562716,0.6537162759886851
121,logistic_reg,"{'C': 1, 'penalty': 'l2', 'fit_intercept': True, 'seed': 1234}",1,0.05,0.45219482862297056,0.08653624856156501,0.6537162759886851
122,logistic_reg,"{'C': 1, 'penalty': 'l2', 'fit_intercept': True, 'seed': 1234}",1,0.1,0.4353577871316897,0.1666283084004603,0.6537162759886851
123,logistic_reg,"{'C': 1, 'penalty': 'l2', 'fit_intercept': True, 'seed': 1234}",1,0.2,0.40808657748384186,0.31242807825086305,0.6537162759886851
124,logistic_reg,"{'C': 1, 'penalty': 'l2', 'fit_intercept': True, 'seed': 1234}",1,0.3,0.3848697394789579,0.44200230149597236,0.6537162759886851
125,logistic_reg,"{'C': 1, 'penalty': 'l2', 'fit_intercept': False, 'seed': 1234}",1,0.01,0.4457831325301205,0.01703107019562716,0.6537190054979245
126,logistic_reg,"{'C': 1, 'penalty': 'l2', 'fit_intercept': False, 'seed': 1234}",1,0.05,0.45219482862297056,0.08653624856156501,0.6537190054979245
127,logistic_reg,"{'C': 1, 'penalty': 'l2', 'fit_intercept': False, 'seed': 1234}",1,0.1,0.4356584485868912,0.16674338319907941,0.6537190054979245
128,logistic_reg,"{'C': 1, 'penalty': 'l2', 'fit_intercept': False, 'seed': 1234}",1,0.2,0.407936269352172,0.31231300345224394,0.6537190054979245
129,logistic_reg,"{'C': 1, 'penalty': 'l2', 'fit_intercept': False, 'seed': 1234}",1,0.3,0.3849699398797595,0.44211737629459147,0.6537190054979245
130,logistic_reg,"{'C': 100, 'penalty': 'l1', 'fit_intercept': True, 'seed': 1234}",1,0.01,0.4457831325301205,0.01703107019562716,0.6531989380102233
131,logistic_reg,"{'C': 100, 'penalty': 'l1', 'fit_intercept': True, 'seed': 1234}",1,0.05,0.45306859205776173,0.08665132336018412,0.6531989380102233
132,logistic_reg,"{'C': 100, 'penalty': 'l1', 'fit_intercept': True, 'seed': 1234}",1,0.1,0.43415514131088395,0.1661680092059839,0.6531989380102233
133,logistic_reg,"{'C': 100, 'penalty': 'l1', 'fit_intercept': True, 'seed': 1234}",1,0.2,0.40838719374718174,0.31265822784810127,0.6531989380102233
134,logistic_reg,"{'C': 100, 'penalty': 'l1', 'fit_intercept': True, 'seed': 1234}",1,0.3,0.38577154308617234,0.4430379746835443,0.6531989380102233
135,logistic_reg,"{'C': 100, 'penalty': 'l1', 'fit_intercept': False, 'seed': 1234}",1,0.01,0.45180722891566266,0.01726121979286536,0.6532064991721815
136,logistic_reg,"{'C': 100, 'penalty': 'l1', 'fit_intercept': False, 'seed': 1234}",1,0.05,0.45306859205776173,0.08665132336018412,0.6532064991721815
137,logistic_reg,"{'C': 100, 'penalty': 'l1', 'fit_intercept': False, 'seed': 1234}",1,0.1,0.43415514131088395,0.1661680092059839,0.6532064991721815
138,logistic_reg,"{'C': 100, 'penalty': 'l1', 'fit_intercept': False, 'seed': 1234}",1,0.2,0.4082368856155118,0.31254315304948216,0.6532064991721815
139,logistic_reg,"{'C': 100, 'penalty': 'l1', 'fit_intercept': False, 'seed': 1234}",1,0.3,0.38587174348697395,0.4431530494821634,0.6532064991721815
140,logistic_reg,"{'C': 100, 'penalty': 'l2', 'fit_intercept': True, 'seed': 1234}",1,0.01,0.45180722891566266,0.01726121979286536,0.6531933338548896
141,logistic_reg,"{'C': 100, 'penalty': 'l2', 'fit_intercept': True, 'seed': 1234}",1,0.05,0.45279615153337344,0.08665132336018412,0.6531933338548896
142,logistic_reg,"{'C': 100, 'penalty': 'l2', 'fit_intercept': True, 'seed': 1234}",1,0.1,0.43475646422128683,0.1663981588032221,0.6531933338548896
143,logistic_reg,"{'C': 100, 'penalty': 'l2', 'fit_intercept': True, 'seed': 1234}",1,0.2,0.4085375018788516,0.3127733026467204,0.6531933338548896
144,logistic_reg,"{'C': 100, 'penalty': 'l2', 'fit_intercept': True, 'seed': 1234}",1,0.3,0.38587174348697395,0.4431530494821634,0.6531933338548896
145,logistic_reg,"{'C': 100, 'penalty': 'l2', 'fit_intercept': False, 'seed': 1234}",1,0.01,0.45180722891566266,0.01726121979286536,0.6531952019066676
